AACQU
AACQW
ACACU
ACAMU
ACAMW
ACEVU
ACEVW
ACGLO
ACGLP
ACTCU
ACTCW
ADOCU
ADVWW
AEPPL
AEPPZ
AFINP
AGBAR
AGBAU
AGBAW
AGCUU
AGNCM
AGNCN
AGNCO
AGNCP
AHACU
AHACW
ALACR
ALACW
AMCIU
AMCIW
AMRHW
ANDAR
ANDAW
APOPW
APXTU
APXTW
ARBGU
ARTLW
ASRVP
ATNFW
AUBAP
AVCTW
AVGOP
BCDAW
BEEMW
BHFAL
BHFAN
BHFAO
BHFAP
BHSEU
BKEPP
BLNKW
BNGOW
BOKFL
BOWXU
BOWXW
BPOPM
BPOPN
BPYPN
BPYPO
BPYPP
BPYUP
BREZU
BRLIR
BRLIU
BRLIW
BROGW
BRPAR
BRPAW
BTAQU
BTAQW
BTWNU
BWACU
CAPAW
CCNEP
CEREW
CFACU
CFIIU
CFIIW
CGROU
CGROW
CHEKZ
CHNGU
CHPMW
CHSCL
CHSCM
CHSCN
CHSCO
CHSCP
CIICU
CIICW
CLRBZ
CMCTP
CMFNL
CMLFU
CMLFW
CONXU
COWNL
COWNZ
CPTAG
CPTAL
CREXW
CRSAW
CRTDW
CSSEN
CSSEP
CSWCL
CURIW
DBDRU
DBDRW
DCOMP
DCRBU
DFHTU
DFHTW
DFPHU
DFPHW
DHCNI
DHCNL
DLPNW
DRIOW
DSACU
EBAYL
ECOLW
ENTXW
EOSEW
EQOSW
ERESU
ERESW
ESGRO
ESGRP
ESSCR
ESSCU
ESSCW
ETACU
ETACW
EUCRU
EXPCU
EXPCW
FATBP
FBIOP
FCACU
FCACW
FCNCP
FDUSG
FDUSL
FIIIU
FIIIW
FITBI
FITBO
FITBP
FMBIO
FMBIP
FREEW
FRGAP
FSRVU
FSRVW
FTIVU
FTIVW
FTOCU
FTOCW
FULTP
GAINL
GAINM
GBLIL
GDYNW
GECCL
GECCM
GECCN
GFNCP
GFNSL
GFNSZ
GHIVU
GHIVW
GLADD
GMBLW
GMHI
GMHIU
GMHIW
GMLPP
GNRSU
GNRSW
GOODM
GOODN
GOVXW
GRCYU
GRCYW
GRNVR
GRNVU
GRNVW
GRSVU
GRSVW
GSMGW
GWACU
GXGXW
HAACU
HBANN
HBANO
HCACU
HCACW
HCAPZ
HCCHR
HCCHU
HCCHW
HECCU
HECCW
HJLIW
HOFVW
HOLUU
HOLUW
HOVNP
HTIA
HTLFP
HWCPL
HWCPZ
HYACW
HYMCW
IEAWW
IGACU
IGACW
IGICW
IIVIP
IMACW
IMRNW
IMTXW
INAQU
INAQW
INBKL
INBKZ
IPLDP
ITACU
ITACW
IVA
JMPNL
JMPNZ
JSM
KBNTW
